"id";"Date.mutation";"Nature.mutation";"Code.postal";"Commune";"Code.departement";"Type.local";"Surface.reelle.bati";"Nombre.pieces.principales";"Surface.terrain"
6;"06/01/2025";"Vente";79270;"EPANNES";"79";"Maison";100;4;1234
12;"03/01/2025";"Vente";79000;"NIORT";"79";"Appartement";41;2;NA
27;"20/01/2025";"Vente";79000;"NIORT";"79";"Maison";143;6;1060
29;"20/01/2025";"Vente";79510;"COULON";"79";"Appartement";40;1;56
45;"27/01/2025";"Vente";79000;"NIORT";"79";"Maison";80;5;101
46;"17/01/2025";"Vente";79000;"SCIECQ";"79";"Maison";131;4;539
53;"24/01/2025";"Vente";79000;"NIORT";"79";"Maison";82;4;924
60;"29/01/2025";"Vente";79000;"NIORT";"79";"Appartement";65;3;NA
66;"31/01/2025";"Vente";79410;"ECHIRE";"79";"Maison";116;4;512
73;"15/01/2025";"Vente";79000;"NIORT";"79";"Maison";46;3;91
78;"13/01/2025";"Vente";79000;"NIORT";"79";"Maison";80;4;50
79;"20/01/2025";"Vente";79270;"FRONTENAY-ROHAN-ROHAN";"79";"Maison";224;6;790
82;"29/01/2025";"Vente";79000;"NIORT";"79";"Maison";82;5;301
92;"24/01/2025";"Vente";79160;"VILLIERS-EN-PLAINE";"79";"Maison";140;6;315
101;"06/02/2025";"Vente";79230;"VOUILLE";"79";"Maison";82;4;862
104;"27/01/2025";"Vente";79260;"LA CRECHE";"79";"Maison";35;2;634
110;"14/01/2025";"Vente";79210;"MAUZE-SUR-LE-MIGNON";"79";"Maison";120;4;320
111;"19/02/2025";"Vente";79000;"NIORT";"79";"Maison";89;5;650
113;"07/02/2025";"Vente";79260;"LA CRECHE";"79";"Maison";154;4;1800
122;"30/01/2025";"Vente";79000;"NIORT";"79";"Maison";70;5;212
125;"31/01/2025";"Vente";79000;"NIORT";"79";"Maison";90;5;403
144;"06/02/2025";"Vente";79000;"NIORT";"79";"Appartement";70;3;NA
147;"19/02/2025";"Vente";79000;"NIORT";"79";"Maison";48;3;165
151;"20/02/2025";"Vente";79000;"NIORT";"79";"Maison";67;3;368
162;"10/02/2025";"Vente";79000;"NIORT";"79";"Maison";97;4;688
172;"29/01/2025";"Vente";79000;"NIORT";"79";"Appartement";99;3;NA
180;"21/02/2025";"Vente";79000;"NIORT";"79";"Appartement";67;4;NA
182;"19/02/2025";"Vente";79510;"COULON";"79";"Maison";100;4;561
210;"28/02/2025";"Vente";79230;"FORS";"79";"Maison";93;3;226
212;"24/02/2025";"Vente";79000;"NIORT";"79";"Maison";102;4;77
220;"11/03/2025";"Vente";79210;"ARCAIS";"79";"Maison";105;3;782
225;"17/02/2025";"Vente";79460;"MAGNE";"79";"Maison";132;5;682
231;"06/03/2025";"Vente";79180;"CHAURAY";"79";"Appartement";41;2;NA
234;"03/03/2025";"Vente";79000;"NIORT";"79";"Maison";59;3;51
236;"21/02/2025";"Vente";79000;"NIORT";"79";"Appartement";43;2;NA
250;"03/03/2025";"Vente";79000;"NIORT";"79";"Appartement";87;4;NA
266;"07/03/2025";"Vente";79000;"NIORT";"79";"Appartement";28;1;NA
274;"04/03/2025";"Vente";79270;"FRONTENAY-ROHAN-ROHAN";"79";"Maison";97;4;460
279;"25/03/2025";"Vente";79000;"NIORT";"79";"Maison";86;3;618
286;"11/03/2025";"Vente";79000;"NIORT";"79";"Maison";99;5;681
291;"06/03/2025";"Vente";79260;"LA CRECHE";"79";"Maison";87;3;1281
300;"28/03/2025";"Vente";79000;"NIORT";"79";"Appartement";30;1;NA
307;"26/03/2025";"Vente";79000;"NIORT";"79";"Maison";47;2;56
318;"31/03/2025";"Vente";79210;"MAUZE-SUR-LE-MIGNON";"79";"Maison";86;3;990
325;"21/03/2025";"Vente";79000;"NIORT";"79";"Appartement";95;3;NA
326;"26/03/2025";"Vente";79410;"ECHIRE";"79";"Maison";52;3;774
330;"21/03/2025";"Vente";79000;"NIORT";"79";"Maison";35;1;26
333;"19/03/2025";"Vente";79000;"NIORT";"79";"Maison";152;5;608
342;"24/03/2025";"Vente";79270;"FRONTENAY-ROHAN-ROHAN";"79";"Maison";111;4;536
343;"25/03/2025";"Vente";79000;"NIORT";"79";"Maison";62;3;292
361;"11/04/2025";"Vente";79000;"NIORT";"79";"Maison";82;3;348
362;"09/04/2025";"Vente";79000;"NIORT";"79";"Appartement";127;5;NA
370;"27/03/2025";"Vente";79000;"NIORT";"79";"Appartement";35;2;NA
372;"15/04/2025";"Vente";79000;"NIORT";"79";"Appartement";74;3;NA
383;"17/04/2025";"Vente";79270;"LE VANNEAU-IRLEAU";"79";"Maison";106;4;45
385;"02/04/2025";"Vente";79410;"SAINT GELAIS";"79";"Maison";197;6;489
386;"31/03/2025";"Vente";79270;"FRONTENAY-ROHAN-ROHAN";"79";"Maison";125;4;610
403;"24/04/2025";"Vente";79000;"NIORT";"79";"Maison";105;6;537
408;"25/04/2025";"Vente";79000;"NIORT";"79";"Maison";134;5;1145
413;"09/04/2025";"Vente";79000;"NIORT";"79";"Appartement";71;4;NA
416;"16/04/2025";"Vente";79000;"NIORT";"79";"Maison";79;3;36
422;"11/04/2025";"Vente";79230;"PRAHECQ";"79";"Maison";96;5;3170
427;"09/04/2025";"Vente";79210;"ARCAIS";"79";"Maison";110;4;190
444;"15/04/2025";"Vente";79000;"NIORT";"79";"Appartement";34;2;506
445;"15/04/2025";"Vente";79000;"NIORT";"79";"Maison";115;6;961
454;"12/05/2025";"Vente";79000;"NIORT";"79";"Maison";85;4;359
475;"30/04/2025";"Vente";79000;"NIORT";"79";"Maison";92;4;373
480;"25/04/2025";"Vente";79000;"NIORT";"79";"Maison";66;3;327
482;"23/04/2025";"Vente";79000;"NIORT";"79";"Appartement";77;4;NA
484;"28/04/2025";"Vente";79260;"LA CRECHE";"79";"Maison";145;4;151
488;"19/05/2025";"Vente";79000;"NIORT";"79";"Appartement";72;4;NA
491;"12/05/2025";"Vente";79230;"PRAHECQ";"79";"Maison";105;3;2929
509;"29/04/2025";"Vente";79000;"NIORT";"79";"Appartement";30;1;NA
513;"21/05/2025";"Vente";79220;"GERMOND-ROUVRE";"79";"Maison";67;3;907
525;"16/05/2025";"Vente";79230;"FORS";"79";"Maison";140;2;1320
532;"05/05/2025";"Vente";79000;"NIORT";"79";"Maison";98;5;163
542;"05/05/2025";"Vente";79000;"NIORT";"79";"Maison";165;6;178
547;"09/05/2025";"Vente";79000;"NIORT";"79";"Maison";125;5;45
562;"30/05/2025";"Vente";79000;"NIORT";"79";"Maison";73;5;492
564;"28/05/2025";"Vente";79000;"NIORT";"79";"Maison";104;4;413
584;"13/06/2025";"Vente";79000;"NIORT";"79";"Appartement";45;1;NA
607;"08/01/2024";"Vente";79000;"NIORT";"79";"Appartement";48;2;NA
609;"12/01/2024";"Vente";79000;"NIORT";"79";"Maison";70;3;138
614;"15/01/2024";"Vente";79000;"NIORT";"79";"Appartement";92;4;NA
616;"13/01/2024";"Vente";79210;"MAUZE-SUR-LE-MIGNON";"79";"Appartement";40;1;NA
