"id";"Date.mutation";"Nature.mutation";"Code.postal";"Commune";"Code.departement";"Type.local";"Surface.reelle.bati";"Nombre.pieces.principales";"Surface.terrain";"Valeur.fonciere"
1;"02/01/2025";"Vente";79000;"NIORT";"79";"Maison";70;4;30;85000
2;"03/01/2025";"Vente";79210;"MAUZE-SUR-LE-MIGNON";"79";"Maison";87;5;540;139000
3;"02/01/2025";"Vente";79000;"NIORT";"79";"Maison";101;4;671;198000
4;"08/01/2025";"Vente";79260;"LA CRECHE";"79";"Maison";120;5;937;185000
5;"10/01/2025";"Vente";79000;"NIORT";"79";"Appartement";67;4;NA;120000
7;"14/01/2025";"Vente";79000;"NIORT";"79";"Maison";62;4;210;135000
8;"02/01/2025";"Vente";79210;"MAUZE-SUR-LE-MIGNON";"79";"Maison";100;1;42;142000
9;"10/01/2025";"Vente";79000;"NIORT";"79";"Maison";116;3;641;270000
10;"13/01/2025";"Vente";79000;"NIORT";"79";"Maison";93;4;407;197000
11;"16/01/2025";"Vente";79260;"LA CRECHE";"79";"Maison";141;5;188;134170
13;"10/01/2025";"Vente";79000;"NIORT";"79";"Maison";126;6;772;208915
14;"10/01/2025";"Vente";79230;"AIFFRES";"79";"Maison";88;4;721;142000
15;"14/01/2025";"Vente";79000;"NIORT";"79";"Maison";117;7;412;182000
16;"17/01/2025";"Vente";79160;"VILLIERS-EN-PLAINE";"79";"Maison";130;4;960;185000
17;"09/01/2025";"Vente";79210;"SAINT-HILAIRE-LA-PALUD";"79";"Maison";86;4;437;180000
18;"13/01/2025";"Vente";79000;"NIORT";"79";"Maison";112;4;600;258000
21;"21/01/2025";"Vente";79000;"NIORT";"79";"Maison";146;5;624;320000
22;"17/01/2025";"Vente";79000;"NIORT";"79";"Maison";195;7;655;516700
24;"07/01/2025";"Vente";79000;"NIORT";"79";"Appartement";66;3;NA;105000
25;"03/01/2025";"Vente";79000;"NIORT";"79";"Maison";60;4;205;140000
26;"06/01/2025";"Vente";79000;"NIORT";"79";"Maison";87;3;236;110000
28;"10/01/2025";"Vente";79000;"NIORT";"79";"Maison";90;3;106;149000
30;"22/01/2025";"Vente";79000;"NIORT";"79";"Maison";145;7;103;238000
31;"27/01/2025";"Vente";79000;"NIORT";"79";"Maison";72;3;339;175500
32;"22/01/2025";"Vente";79000;"NIORT";"79";"Maison";78;4;203;190000
33;"07/01/2025";"Vente";79210;"MAUZE-SUR-LE-MIGNON";"79";"Maison";70;4;283;87000
36;"15/01/2025";"Vente";79000;"NIORT";"79";"Appartement";39;2;NA;60500
37;"27/01/2025";"Vente";79000;"NIORT";"79";"Maison";120;5;250;234303,4
38;"07/01/2025";"Vente";79410;"ECHIRE";"79";"Maison";160;6;591;172000
39;"20/01/2025";"Vente";79000;"NIORT";"79";"Appartement";52;2;NA;89000
41;"24/01/2025";"Vente";79270;"SAINT-SYMPHORIEN";"79";"Maison";90;4;988;155000
43;"28/01/2025";"Vente";79000;"NIORT";"79";"Appartement";35;1;NA;1e+05
47;"17/01/2025";"Vente";79360;"BEAUVOIR-SUR-NIORT";"79";"Appartement";48;2;NA;62000
51;"20/01/2025";"Vente";79000;"NIORT";"79";"Maison";98;4;765;230000
52;"24/01/2025";"Vente";79230;"AIFFRES";"79";"Maison";77;4;323;178000
54;"16/01/2025";"Vente";79000;"NIORT";"79";"Appartement";69;4;NA;99000
55;"15/01/2025";"Vente";79260;"LA CRECHE";"79";"Maison";140;4;446;189000
56;"15/01/2025";"Vente";79260;"LA CRECHE";"79";"Maison";213;6;1180;270000
57;"10/01/2025";"Vente";79000;"NIORT";"79";"Appartement";41;2;NA;109900
58;"29/01/2025";"Vente";79230;"AIFFRES";"79";"Maison";200;5;1381;330000
61;"17/01/2025";"Vente";79000;"NIORT";"79";"Maison";452;10;456;480000
62;"30/01/2025";"Vente";79270;"FRONTENAY-ROHAN-ROHAN";"79";"Maison";103;4;582;103000
63;"24/01/2025";"Vente";79230;"AIFFRES";"79";"Maison";112;4;494;180000
64;"30/01/2025";"Vente";79000;"NIORT";"79";"Appartement";74;3;NA;78000
65;"15/01/2025";"Vente";79000;"NIORT";"79";"Maison";68;4;415;165000
67;"16/01/2025";"Vente";79210;"LE BOURDET";"79";"Maison";200;5;1935;347030
69;"29/01/2025";"Vente";79000;"NIORT";"79";"Maison";68;4;254;120000
72;"31/01/2025";"Vente";79210;"MAUZE-SUR-LE-MIGNON";"79";"Maison";78;4;958;160000
74;"27/01/2025";"Vente";79000;"NIORT";"79";"Maison";58;4;366;139000
75;"13/01/2025";"Vente";79180;"CHAURAY";"79";"Maison";118;3;78;135000
77;"15/01/2025";"Vente";79000;"NIORT";"79";"Appartement";77;4;NA;1e+05
81;"21/01/2025";"Vente";79000;"NIORT";"79";"Maison";99;4;289;335000
83;"21/01/2025";"Vente";79000;"NIORT";"79";"Appartement";47;2;NA;80200
84;"10/02/2025";"Vente";79160;"COULONGES-SUR-L AUTIZE";"79";"Maison";58;3;84;70000
85;"31/01/2025";"Vente";79180;"CHAURAY";"79";"Appartement";41;2;NA;85000
88;"17/01/2025";"Vente";79180;"CHAURAY";"79";"Maison";96;6;618;240000
90;"16/01/2025";"Vente";79000;"NIORT";"79";"Appartement";64;3;NA;119000
93;"31/01/2025";"Vente";79000;"NIORT";"79";"Maison";84;4;383;135000
94;"30/01/2025";"Vente";79000;"BESSINES";"79";"Maison";141;6;1072;425000
95;"30/01/2025";"Vente";79000;"NIORT";"79";"Appartement";22;1;NA;59000
96;"27/01/2025";"Vente";79000;"NIORT";"79";"Maison";68;4;146;142000
97;"22/01/2025";"Vente";79000;"NIORT";"79";"Maison";72;4;899;180000
98;"12/02/2025";"Vente";79000;"NIORT";"79";"Maison";105;5;535;201000
99;"20/01/2025";"Vente";79000;"NIORT";"79";"Maison";128;6;131;360000
100;"23/01/2025";"Vente";79000;"NIORT";"79";"Appartement";66;2;NA;125000
102;"06/02/2025";"Vente";79000;"NIORT";"79";"Maison";117;2;500;210000
103;"13/02/2025";"Vente";79230;"VOUILLE";"79";"Maison";129;5;762;274000
105;"17/02/2025";"Vente";79410;"SAINT GELAIS";"79";"Maison";98;4;607;133000
106;"21/01/2025";"Vente";79000;"NIORT";"79";"Maison";50;3;43;76000
108;"27/01/2025";"Vente";79260;"LA CRECHE";"79";"Maison";75;4;598;135000
109;"27/01/2025";"Vente";79360;"BEAUVOIR-SUR-NIORT";"79";"Maison";57;2;337;86000
112;"18/02/2025";"Vente";79000;"NIORT";"79";"Appartement";21;2;NA;42000
114;"22/01/2025";"Vente";79000;"NIORT";"79";"Appartement";46;2;NA;92000
116;"11/02/2025";"Vente";79000;"NIORT";"79";"Maison";77;4;313;148250
117;"04/02/2025";"Vente";79000;"NIORT";"79";"Maison";98;4;132;226000
121;"12/02/2025";"Vente";79000;"NIORT";"79";"Appartement";106;3;NA;387800
126;"12/02/2025";"Vente";79180;"CHAURAY";"79";"Maison";103;4;628;265000
127;"05/02/2025";"Vente";79510;"COULON";"79";"Maison";45;2;206;70100
128;"29/01/2025";"Vente";79000;"NIORT";"79";"Appartement";33;2;NA;68000
129;"21/02/2025";"Vente";79460;"MAGNE";"79";"Maison";164;5;903;376000
130;"27/01/2025";"Vente";79000;"NIORT";"79";"Maison";91;5;622;170000
131;"30/01/2025";"Vente";79000;"BESSINES";"79";"Maison";85;3;278;184000
132;"07/02/2025";"Vente";79230;"FORS";"79";"Maison";84;3;783;120000
133;"11/02/2025";"Vente";79000;"NIORT";"79";"Maison";71;5;329;131000
134;"12/02/2025";"Vente";79000;"NIORT";"79";"Maison";100;5;264;170000
135;"11/02/2025";"Vente";79230;"PRAHECQ";"79";"Maison";126;3;1312;85000
136;"13/02/2025";"Vente";79230;"PRAHECQ";"79";"Maison";113;5;649;170000
139;"19/02/2025";"Vente";79000;"NIORT";"79";"Maison";108;4;315;257000
142;"31/01/2025";"Vente";79270;"FRONTENAY-ROHAN-ROHAN";"79";"Maison";77;4;476;129000
143;"31/01/2025";"Vente";79000;"NIORT";"79";"Maison";131;6;592;2e+05
145;"12/02/2025";"Vente";79000;"NIORT";"79";"Maison";52;3;413;135400
148;"31/01/2025";"Vente";79000;"NIORT";"79";"Maison";102;4;833;108999
149;"31/01/2025";"Vente";79000;"NIORT";"79";"Appartement";39;2;NA;40000
153;"19/02/2025";"Vente";79000;"NIORT";"79";"Appartement";28;2;NA;62000
155;"03/02/2025";"Vente";79000;"NIORT";"79";"Maison";97;5;546;273050
156;"30/01/2025";"Vente";79180;"CHAURAY";"79";"Maison";77;2;719;2e+05
157;"13/02/2025";"Vente";79230;"BRULAIN";"79";"Maison";100;5;1313;45000
159;"03/02/2025";"Vente";79000;"NIORT";"79";"Maison";55;2;26;81500
161;"03/02/2025";"Vente";79000;"NIORT";"79";"Appartement";37;1;NA;42000
163;"04/02/2025";"Vente";79000;"NIORT";"79";"Maison";61;3;34;88000
165;"20/02/2025";"Vente";79000;"NIORT";"79";"Appartement";23;1;NA;72675
168;"04/02/2025";"Vente";79000;"NIORT";"79";"Appartement";25;1;NA;55000
169;"31/01/2025";"Vente";79000;"NIORT";"79";"Appartement";36;2;NA;82900
170;"03/02/2025";"Vente";79000;"NIORT";"79";"Maison";65;4;120;110000
171;"05/02/2025";"Vente";79000;"NIORT";"79";"Maison";138;8;264;229531
173;"07/02/2025";"Vente";79000;"NIORT";"79";"Maison";98;5;613;218000
175;"06/02/2025";"Vente";79260;"LA CRECHE";"79";"Maison";128;5;249;190000
178;"25/02/2025";"Vente";79000;"NIORT";"79";"Appartement";76;3;NA;176800
181;"21/02/2025";"Vente";79260;"LA CRECHE";"79";"Maison";81;4;300;191000
183;"27/02/2025";"Vente";79000;"NIORT";"79";"Appartement";36;2;NA;44000
